GCF_000027345.1;protein_0,GCF_900660465.1;protein_731,GCF_041931765.1;protein_77,GCF_002090215.1;protein_0,GCF_001558175.1;protein_0,GCF_002128145.1;protein_0,GCF_001272755.1;protein_0,,GCF_009945865.1;protein_0,GCF_002128285.1;protein_0,GCF_000319655.2;protein_0,GCF_002090295.1;protein_0,GCF_910574535.1;protein_0,GCF_040256845.1;protein_0,GCF_000319675.2;protein_0,GCF_041931565.1;protein_196,GCF_009942155.1;protein_0,GCF_009943805.1;protein_0,GCF_900660465.1;protein_736,GCF_002127985.1;protein_0,GCF_009947205.1;protein_0,GCF_900660465.1;protein_727,GCF_000283755.1;protein_0,GCF_009939765.1;protein_0,GCF_002355715.1;protein_0,GCF_000733995.1;protein_76,GCF_009944335.1;protein_0,GCF_002128265.1;protein_0,GCF_009944725.1;protein_0,GCF_001272775.1;protein_0,GCF_041931755.1;protein_77,GCF_009947575.1;protein_0,GCF_002128045.1;protein_0,,,,
GCF_910574535.1;protein_718,GCF_002128045.1;protein_715,GCF_000319675.2;protein_715,GCF_000027345.1;protein_721,GCF_000283755.1;protein_724,GCF_002127985.1;protein_718,GCF_009947205.1;protein_717,GCF_041931765.1;protein_74,GCF_040256845.1;protein_717,GCF_002128265.1;protein_727,GCF_041931565.1;protein_193,GCF_009944725.1;protein_723,GCF_002128145.1;protein_716,GCF_001558175.1;protein_718,GCF_009942155.1;protein_724,GCF_041931755.1;protein_74,GCF_001272775.1;protein_720,GCF_009939765.1;protein_719,GCF_002355715.1;protein_723,GCF_900660465.1;protein_0,GCF_002128285.1;protein_725,GCF_009944335.1;protein_715,GCF_001272755.1;protein_718,GCF_000733995.1;protein_73,GCF_002090215.1;protein_717,GCF_000319655.2;protein_727,GCF_009947575.1;protein_716,GCF_009945865.1;protein_725,GCF_009943805.1;protein_716,GCF_002090295.1;protein_717,,,,,,,
GCF_910574535.1;protein_719,GCF_002128045.1;protein_716,GCF_000319675.2;protein_716,GCF_000027345.1;protein_722,GCF_000283755.1;protein_725,GCF_002127985.1;protein_719,GCF_009947205.1;protein_718,GCF_041931765.1;protein_75,GCF_040256845.1;protein_718,GCF_002128265.1;protein_728,GCF_041931565.1;protein_194,GCF_009944725.1;protein_724,GCF_002128145.1;protein_717,GCF_001558175.1;protein_719,GCF_009942155.1;protein_725,GCF_041931755.1;protein_75,GCF_001272775.1;protein_721,GCF_009939765.1;protein_720,GCF_002355715.1;protein_724,GCF_900660465.1;protein_729,GCF_002128285.1;protein_726,GCF_009944335.1;protein_716,GCF_001272755.1;protein_719,GCF_000733995.1;protein_74,GCF_002090215.1;protein_718,GCF_000319655.2;protein_728,GCF_009947575.1;protein_717,GCF_009945865.1;protein_726,GCF_009943805.1;protein_717,GCF_002090295.1;protein_718,,,,,,,
GCF_910574535.1;protein_72,GCF_002128045.1;protein_71,GCF_000319675.2;protein_71,GCF_000027345.1;protein_72,GCF_000283755.1;protein_71,GCF_002127985.1;protein_72,GCF_009947205.1;protein_72,GCF_041931765.1;protein_149,GCF_040256845.1;protein_71,GCF_002128265.1;protein_71,GCF_041931565.1;protein_268,GCF_009944725.1;protein_72,GCF_002128145.1;protein_72,GCF_001558175.1;protein_71,GCF_009942155.1;protein_71,GCF_041931755.1;protein_148,GCF_001272775.1;protein_72,GCF_009939765.1;protein_72,GCF_002355715.1;protein_71,GCF_900660465.1;protein_655,GCF_002128285.1;protein_72,GCF_009944335.1;protein_72,GCF_001272755.1;protein_72,GCF_000733995.1;protein_148,GCF_002090215.1;protein_71,GCF_000319655.2;protein_72,GCF_009947575.1;protein_72,GCF_009945865.1;protein_72,GCF_009943805.1;protein_72,GCF_002090295.1;protein_72,,,,,,,
GCF_910574535.1;protein_720,GCF_002128045.1;protein_717,GCF_000319675.2;protein_717,GCF_000027345.1;protein_723,GCF_000283755.1;protein_726,GCF_002127985.1;protein_720,GCF_009947205.1;protein_719,GCF_041931765.1;protein_76,GCF_040256845.1;protein_719,GCF_002128265.1;protein_729,GCF_041931565.1;protein_195,GCF_009944725.1;protein_725,GCF_002128145.1;protein_718,GCF_001558175.1;protein_720,GCF_009942155.1;protein_726,GCF_041931755.1;protein_76,GCF_001272775.1;protein_722,GCF_009939765.1;protein_721,GCF_002355715.1;protein_725,GCF_900660465.1;protein_728,GCF_002128285.1;protein_727,GCF_009944335.1;protein_717,GCF_001272755.1;protein_720,GCF_000733995.1;protein_75,GCF_002090215.1;protein_719,GCF_000319655.2;protein_729,GCF_009947575.1;protein_718,GCF_009945865.1;protein_727,GCF_009943805.1;protein_718,GCF_002090295.1;protein_719,,,,,,,
GCF_910574535.1;protein_73,GCF_002128045.1;protein_72,GCF_000319675.2;protein_72,GCF_000027345.1;protein_73,GCF_000283755.1;protein_72,GCF_002127985.1;protein_73,GCF_009947205.1;protein_73,GCF_041931765.1;protein_150,GCF_040256845.1;protein_72,GCF_002128265.1;protein_72,GCF_041931565.1;protein_269,GCF_009944725.1;protein_73,GCF_002128145.1;protein_73,GCF_001558175.1;protein_72,GCF_009942155.1;protein_72,GCF_041931755.1;protein_149,GCF_001272775.1;protein_73,GCF_009939765.1;protein_73,GCF_002355715.1;protein_72,GCF_900660465.1;protein_654,GCF_002128285.1;protein_73,GCF_009944335.1;protein_73,GCF_001272755.1;protein_73,GCF_000733995.1;protein_149,GCF_002090215.1;protein_72,GCF_000319655.2;protein_73,GCF_009947575.1;protein_73,GCF_009945865.1;protein_73,GCF_009943805.1;protein_73,GCF_002090295.1;protein_73,,,,,,,
GCF_910574535.1;protein_74,GCF_002128045.1;protein_73,GCF_000319675.2;protein_73,GCF_000027345.1;protein_74,GCF_000283755.1;protein_73,GCF_002127985.1;protein_74,GCF_009947205.1;protein_74,GCF_041931765.1;protein_151,GCF_040256845.1;protein_73,GCF_002128265.1;protein_73,GCF_041931565.1;protein_270,GCF_009944725.1;protein_74,GCF_002128145.1;protein_74,GCF_001558175.1;protein_73,GCF_009942155.1;protein_73,GCF_041931755.1;protein_150,GCF_001272775.1;protein_74,GCF_009939765.1;protein_74,GCF_002355715.1;protein_73,GCF_900660465.1;protein_653,GCF_002128285.1;protein_74,GCF_009944335.1;protein_74,GCF_001272755.1;protein_74,GCF_000733995.1;protein_150,GCF_002090215.1;protein_73,GCF_000319655.2;protein_74,GCF_009947575.1;protein_74,GCF_009945865.1;protein_74,GCF_009943805.1;protein_74,GCF_002090295.1;protein_74,,,,,,,
GCF_910574535.1;protein_75,GCF_002128045.1;protein_74,GCF_000319675.2;protein_74,GCF_000027345.1;protein_75,GCF_000283755.1;protein_74,GCF_002127985.1;protein_75,GCF_009947205.1;protein_75,GCF_041931765.1;protein_152,GCF_040256845.1;protein_74,GCF_002128265.1;protein_74,GCF_041931565.1;protein_271,GCF_009944725.1;protein_75,GCF_002128145.1;protein_75,GCF_001558175.1;protein_74,GCF_009942155.1;protein_74,GCF_041931755.1;protein_151,GCF_001272775.1;protein_75,GCF_009939765.1;protein_75,GCF_002355715.1;protein_74,GCF_900660465.1;protein_652,GCF_002128285.1;protein_75,GCF_009944335.1;protein_75,GCF_001272755.1;protein_75,GCF_000733995.1;protein_151,GCF_002090215.1;protein_74,GCF_000319655.2;protein_75,GCF_009947575.1;protein_75,GCF_009945865.1;protein_75,GCF_009943805.1;protein_75,GCF_002090295.1;protein_75,,,,,,,
GCF_910574535.1;protein_76,GCF_002128045.1;protein_75,GCF_000319675.2;protein_75,GCF_000027345.1;protein_76,GCF_000283755.1;protein_75,GCF_002127985.1;protein_76,GCF_009947205.1;protein_76,GCF_041931765.1;protein_153,GCF_040256845.1;protein_75,GCF_002128265.1;protein_75,GCF_041931565.1;protein_272,GCF_009944725.1;protein_76,GCF_002128145.1;protein_76,GCF_001558175.1;protein_75,GCF_009942155.1;protein_75,GCF_041931755.1;protein_152,GCF_001272775.1;protein_76,GCF_009939765.1;protein_76,GCF_002355715.1;protein_75,GCF_900660465.1;protein_651,GCF_002128285.1;protein_76,GCF_009944335.1;protein_76,GCF_001272755.1;protein_76,GCF_000733995.1;protein_152,GCF_002090215.1;protein_75,GCF_000319655.2;protein_76,GCF_009947575.1;protein_76,GCF_009945865.1;protein_76,GCF_009943805.1;protein_76,GCF_002090295.1;protein_76,,,,,,,
GCF_910574535.1;protein_77,GCF_002128045.1;protein_76,GCF_000319675.2;protein_76,GCF_000027345.1;protein_77,GCF_000283755.1;protein_76,GCF_002127985.1;protein_77,GCF_009947205.1;protein_77,GCF_041931765.1;protein_154,GCF_040256845.1;protein_76,GCF_002128265.1;protein_76,GCF_041931565.1;protein_273,GCF_009944725.1;protein_77,GCF_002128145.1;protein_77,GCF_001558175.1;protein_76,GCF_009942155.1;protein_76,GCF_041931755.1;protein_153,GCF_001272775.1;protein_77,GCF_009939765.1;protein_77,GCF_002355715.1;protein_76,GCF_900660465.1;protein_650,GCF_002128285.1;protein_77,GCF_009944335.1;protein_77,GCF_001272755.1;protein_77,GCF_000733995.1;protein_153,GCF_002090215.1;protein_76,GCF_000319655.2;protein_77,GCF_009947575.1;protein_77,GCF_009945865.1;protein_77,GCF_009943805.1;protein_77,GCF_002090295.1;protein_77,,,,,,,
GCF_910574535.1;protein_78,GCF_002128045.1;protein_77,GCF_000319675.2;protein_77,GCF_000027345.1;protein_78,GCF_000283755.1;protein_77,GCF_002127985.1;protein_78,GCF_009947205.1;protein_78,GCF_041931765.1;protein_155,GCF_040256845.1;protein_77,GCF_002128265.1;protein_77,GCF_041931565.1;protein_274,GCF_009944725.1;protein_78,GCF_002128145.1;protein_78,GCF_001558175.1;protein_77,GCF_009942155.1;protein_77,GCF_041931755.1;protein_154,GCF_001272775.1;protein_78,GCF_009939765.1;protein_78,GCF_002355715.1;protein_77,GCF_900660465.1;protein_649,GCF_002128285.1;protein_78,GCF_009944335.1;protein_78,GCF_001272755.1;protein_78,GCF_000733995.1;protein_154,GCF_002090215.1;protein_77,GCF_000319655.2;protein_78,GCF_009947575.1;protein_78,GCF_009945865.1;protein_78,GCF_009943805.1;protein_78,GCF_002090295.1;protein_78,,,,,,,
GCF_910574535.1;protein_79,GCF_002128045.1;protein_78,GCF_000319675.2;protein_78,GCF_000027345.1;protein_79,GCF_000283755.1;protein_78,GCF_002127985.1;protein_79,GCF_009947205.1;protein_79,GCF_041931765.1;protein_156,GCF_040256845.1;protein_78,GCF_002128265.1;protein_78,GCF_041931565.1;protein_275,GCF_009944725.1;protein_79,GCF_002128145.1;protein_79,GCF_001558175.1;protein_78,GCF_009942155.1;protein_78,GCF_041931755.1;protein_155,GCF_001272775.1;protein_79,GCF_009939765.1;protein_79,GCF_002355715.1;protein_78,GCF_900660465.1;protein_648,GCF_002128285.1;protein_79,GCF_009944335.1;protein_79,GCF_001272755.1;protein_79,GCF_000733995.1;protein_155,GCF_002090215.1;protein_78,GCF_000319655.2;protein_79,GCF_009947575.1;protein_79,GCF_009945865.1;protein_79,GCF_009943805.1;protein_79,GCF_002090295.1;protein_79,,,,,,,
GCF_910574535.1;protein_8,GCF_002128045.1;protein_8,GCF_000319675.2;protein_8,GCF_000027345.1;protein_8,GCF_000283755.1;protein_8,GCF_002127985.1;protein_8,GCF_009947205.1;protein_8,GCF_041931765.1;protein_85,GCF_040256845.1;protein_8,GCF_002128265.1;protein_8,GCF_041931565.1;protein_204,GCF_009944725.1;protein_8,GCF_002128145.1;protein_8,GCF_001558175.1;protein_8,GCF_009942155.1;protein_8,GCF_041931755.1;protein_85,GCF_001272775.1;protein_8,GCF_009939765.1;protein_8,GCF_002355715.1;protein_8,GCF_900660465.1;protein_719,GCF_002128285.1;protein_8,GCF_009944335.1;protein_8,GCF_001272755.1;protein_8,GCF_000733995.1;protein_84,GCF_002090215.1;protein_8,GCF_000319655.2;protein_8,GCF_009947575.1;protein_8,GCF_009945865.1;protein_8,GCF_009943805.1;protein_8,GCF_002090295.1;protein_8,,,,,,,
GCF_910574535.1;protein_80,GCF_002128045.1;protein_79,GCF_000319675.2;protein_79,GCF_000027345.1;protein_80,GCF_000283755.1;protein_79,GCF_002127985.1;protein_80,GCF_009947205.1;protein_80,GCF_041931765.1;protein_157,GCF_040256845.1;protein_79,GCF_002128265.1;protein_79,GCF_041931565.1;protein_276,GCF_009944725.1;protein_80,GCF_002128145.1;protein_80,GCF_001558175.1;protein_79,GCF_009942155.1;protein_79,GCF_041931755.1;protein_156,GCF_001272775.1;protein_80,GCF_009939765.1;protein_80,GCF_002355715.1;protein_79,GCF_900660465.1;protein_647,GCF_002128285.1;protein_80,GCF_009944335.1;protein_80,GCF_001272755.1;protein_80,GCF_000733995.1;protein_156,GCF_002090215.1;protein_79,GCF_000319655.2;protein_80,GCF_009947575.1;protein_80,GCF_009945865.1;protein_80,GCF_009943805.1;protein_80,GCF_002090295.1;protein_80,,,,,,,
GCF_910574535.1;protein_81,GCF_002128045.1;protein_80,GCF_000319675.2;protein_80,GCF_000027345.1;protein_81,GCF_000283755.1;protein_80,GCF_002127985.1;protein_81,GCF_009947205.1;protein_81,GCF_041931765.1;protein_158,GCF_040256845.1;protein_80,GCF_002128265.1;protein_80,GCF_041931565.1;protein_277,GCF_009944725.1;protein_81,GCF_002128145.1;protein_81,GCF_001558175.1;protein_80,GCF_009942155.1;protein_80,GCF_041931755.1;protein_157,GCF_001272775.1;protein_81,GCF_009939765.1;protein_81,GCF_002355715.1;protein_80,GCF_900660465.1;protein_646,GCF_002128285.1;protein_81,GCF_009944335.1;protein_81,GCF_001272755.1;protein_81,GCF_000733995.1;protein_157,GCF_002090215.1;protein_80,GCF_000319655.2;protein_81,GCF_009947575.1;protein_81,GCF_009945865.1;protein_81,GCF_009943805.1;protein_81,GCF_002090295.1;protein_81,,,,,,,
GCF_910574535.1;protein_82,GCF_002128045.1;protein_81,GCF_000319675.2;protein_81,GCF_000027345.1;protein_82,GCF_000283755.1;protein_81,GCF_002127985.1;protein_82,GCF_009947205.1;protein_82,GCF_041931765.1;protein_159,GCF_040256845.1;protein_81,GCF_002128265.1;protein_81,GCF_041931565.1;protein_278,GCF_009944725.1;protein_82,GCF_002128145.1;protein_82,GCF_001558175.1;protein_81,GCF_009942155.1;protein_81,GCF_041931755.1;protein_158,GCF_001272775.1;protein_82,GCF_009939765.1;protein_82,GCF_002355715.1;protein_81,GCF_900660465.1;protein_645,GCF_002128285.1;protein_82,GCF_009944335.1;protein_82,GCF_001272755.1;protein_82,GCF_000733995.1;protein_158,GCF_002090215.1;protein_81,GCF_000319655.2;protein_82,GCF_009947575.1;protein_82,GCF_009945865.1;protein_82,GCF_009943805.1;protein_82,GCF_002090295.1;protein_82,,,,,,,
GCF_910574535.1;protein_83,GCF_002128045.1;protein_82,GCF_000319675.2;protein_82,GCF_000027345.1;protein_83,GCF_000283755.1;protein_82,GCF_002127985.1;protein_83,GCF_009947205.1;protein_83,GCF_041931765.1;protein_160,GCF_040256845.1;protein_82,GCF_002128265.1;protein_82,GCF_041931565.1;protein_279,GCF_009944725.1;protein_83,GCF_002128145.1;protein_83,GCF_001558175.1;protein_82,GCF_009942155.1;protein_82,GCF_041931755.1;protein_159,GCF_001272775.1;protein_83,GCF_009939765.1;protein_83,GCF_002355715.1;protein_82,GCF_900660465.1;protein_644,GCF_002128285.1;protein_83,GCF_009944335.1;protein_83,GCF_001272755.1;protein_83,GCF_000733995.1;protein_159,GCF_002090215.1;protein_82,GCF_000319655.2;protein_83,GCF_009947575.1;protein_83,GCF_009945865.1;protein_83,GCF_009943805.1;protein_83,GCF_002090295.1;protein_83,,,,,,,
GCF_910574535.1;protein_84,GCF_002128045.1;protein_83,GCF_000319675.2;protein_83,GCF_000027345.1;protein_84,GCF_000283755.1;protein_83,GCF_002127985.1;protein_84,GCF_009947205.1;protein_84,GCF_041931765.1;protein_161,GCF_040256845.1;protein_83,GCF_002128265.1;protein_83,GCF_041931565.1;protein_280,GCF_009944725.1;protein_84,GCF_002128145.1;protein_84,GCF_001558175.1;protein_83,GCF_009942155.1;protein_83,GCF_041931755.1;protein_160,GCF_001272775.1;protein_84,GCF_009939765.1;protein_84,GCF_002355715.1;protein_83,GCF_900660465.1;protein_643,GCF_002128285.1;protein_84,GCF_009944335.1;protein_84,GCF_001272755.1;protein_84,GCF_000733995.1;protein_160,GCF_002090215.1;protein_83,GCF_000319655.2;protein_84,GCF_009947575.1;protein_84,GCF_009945865.1;protein_84,GCF_009943805.1;protein_84,GCF_002090295.1;protein_84,,,,,,,
GCF_910574535.1;protein_85,GCF_002128045.1;protein_84,GCF_000319675.2;protein_84,GCF_000027345.1;protein_85,GCF_000283755.1;protein_84,GCF_002127985.1;protein_85,GCF_009947205.1;protein_85,GCF_041931765.1;protein_162,GCF_040256845.1;protein_84,GCF_002128265.1;protein_84,GCF_041931565.1;protein_281,GCF_009944725.1;protein_85,GCF_002128145.1;protein_85,GCF_001558175.1;protein_84,GCF_009942155.1;protein_84,GCF_041931755.1;protein_161,GCF_001272775.1;protein_85,GCF_009939765.1;protein_85,GCF_002355715.1;protein_84,GCF_900660465.1;protein_642,GCF_002128285.1;protein_85,GCF_009944335.1;protein_85,GCF_001272755.1;protein_85,GCF_000733995.1;protein_161,GCF_002090215.1;protein_84,GCF_000319655.2;protein_85,GCF_009947575.1;protein_85,GCF_009945865.1;protein_85,GCF_009943805.1;protein_85,GCF_002090295.1;protein_85,,,,,,,
GCF_910574535.1;protein_86,GCF_002128045.1;protein_85,GCF_000319675.2;protein_85,GCF_000027345.1;protein_86,GCF_000283755.1;protein_85,GCF_002127985.1;protein_86,GCF_009947205.1;protein_86,GCF_041931765.1;protein_163,GCF_040256845.1;protein_85,GCF_002128265.1;protein_85,GCF_041931565.1;protein_282,GCF_009944725.1;protein_86,GCF_002128145.1;protein_86,GCF_001558175.1;protein_85,GCF_009942155.1;protein_85,GCF_041931755.1;protein_162,GCF_001272775.1;protein_86,GCF_009939765.1;protein_86,GCF_002355715.1;protein_85,GCF_900660465.1;protein_641,GCF_002128285.1;protein_86,GCF_009944335.1;protein_86,GCF_001272755.1;protein_86,GCF_000733995.1;protein_162,GCF_002090215.1;protein_85,GCF_000319655.2;protein_86,GCF_009947575.1;protein_86,GCF_009945865.1;protein_86,GCF_009943805.1;protein_86,GCF_002090295.1;protein_86,,,,,,,
GCF_910574535.1;protein_87,GCF_002128045.1;protein_86,GCF_000319675.2;protein_86,GCF_000027345.1;protein_87,GCF_000283755.1;protein_86,GCF_002127985.1;protein_87,GCF_009947205.1;protein_87,GCF_041931765.1;protein_164,GCF_040256845.1;protein_86,GCF_002128265.1;protein_86,GCF_041931565.1;protein_283,GCF_009944725.1;protein_87,GCF_002128145.1;protein_87,GCF_001558175.1;protein_86,GCF_009942155.1;protein_86,GCF_041931755.1;protein_163,GCF_001272775.1;protein_87,GCF_009939765.1;protein_87,GCF_002355715.1;protein_86,GCF_900660465.1;protein_640,GCF_002128285.1;protein_87,GCF_009944335.1;protein_87,GCF_001272755.1;protein_87,GCF_000733995.1;protein_163,GCF_002090215.1;protein_86,GCF_000319655.2;protein_87,GCF_009947575.1;protein_87,GCF_009945865.1;protein_87,GCF_009943805.1;protein_87,GCF_002090295.1;protein_87,,,,,,,
GCF_910574535.1;protein_88,GCF_002128045.1;protein_87,GCF_000319675.2;protein_87,GCF_000027345.1;protein_88,GCF_000283755.1;protein_87,GCF_002127985.1;protein_88,GCF_009947205.1;protein_88,GCF_041931765.1;protein_165,GCF_040256845.1;protein_87,GCF_002128265.1;protein_87,GCF_041931565.1;protein_284,GCF_009944725.1;protein_88,GCF_002128145.1;protein_88,GCF_001558175.1;protein_87,GCF_009942155.1;protein_87,GCF_041931755.1;protein_164,GCF_001272775.1;protein_88,GCF_009939765.1;protein_88,GCF_002355715.1;protein_87,GCF_900660465.1;protein_639,GCF_002128285.1;protein_88,GCF_009944335.1;protein_88,GCF_001272755.1;protein_88,GCF_000733995.1;protein_164,GCF_002090215.1;protein_87,GCF_000319655.2;protein_88,GCF_009947575.1;protein_88,GCF_009945865.1;protein_88,GCF_009943805.1;protein_88,GCF_002090295.1;protein_88,,,,,,,
GCF_910574535.1;protein_89,GCF_002128045.1;protein_88,GCF_000319675.2;protein_88,GCF_000027345.1;protein_89,GCF_000283755.1;protein_88,GCF_002127985.1;protein_89,GCF_009947205.1;protein_89,GCF_041931765.1;protein_166,GCF_040256845.1;protein_88,GCF_002128265.1;protein_88,GCF_041931565.1;protein_285,GCF_009944725.1;protein_89,GCF_002128145.1;protein_89,GCF_001558175.1;protein_88,GCF_009942155.1;protein_88,GCF_041931755.1;protein_165,GCF_001272775.1;protein_89,GCF_009939765.1;protein_89,GCF_002355715.1;protein_88,GCF_900660465.1;protein_638,GCF_002128285.1;protein_89,GCF_009944335.1;protein_89,GCF_001272755.1;protein_89,GCF_000733995.1;protein_165,GCF_002090215.1;protein_88,GCF_000319655.2;protein_89,GCF_009947575.1;protein_89,GCF_009945865.1;protein_89,GCF_009943805.1;protein_89,GCF_002090295.1;protein_89,,,,,,,
GCF_910574535.1;protein_9,GCF_002128045.1;protein_9,GCF_000319675.2;protein_9,GCF_000027345.1;protein_9,GCF_000283755.1;protein_9,GCF_002127985.1;protein_9,GCF_009947205.1;protein_9,GCF_041931765.1;protein_86,GCF_040256845.1;protein_9,GCF_002128265.1;protein_9,GCF_041931565.1;protein_205,GCF_009944725.1;protein_9,GCF_002128145.1;protein_9,GCF_001558175.1;protein_9,GCF_009942155.1;protein_9,GCF_041931755.1;protein_86,GCF_001272775.1;protein_9,GCF_009939765.1;protein_9,GCF_002355715.1;protein_9,GCF_900660465.1;protein_718,GCF_002128285.1;protein_9,GCF_009944335.1;protein_9,GCF_001272755.1;protein_9,GCF_000733995.1;protein_85,GCF_002090215.1;protein_9,GCF_000319655.2;protein_9,GCF_009947575.1;protein_9,GCF_009945865.1;protein_9,GCF_009943805.1;protein_9,GCF_002090295.1;protein_9,,,,,,,
GCF_910574535.1;protein_90,GCF_002128045.1;protein_89,GCF_000319675.2;protein_89,GCF_000027345.1;protein_90,GCF_000283755.1;protein_89,GCF_002127985.1;protein_90,GCF_009947205.1;protein_90,GCF_041931765.1;protein_167,GCF_040256845.1;protein_89,GCF_002128265.1;protein_89,GCF_041931565.1;protein_286,GCF_009944725.1;protein_90,GCF_002128145.1;protein_90,GCF_001558175.1;protein_89,GCF_009942155.1;protein_89,GCF_041931755.1;protein_166,GCF_001272775.1;protein_90,GCF_009939765.1;protein_90,GCF_002355715.1;protein_89,GCF_900660465.1;protein_637,GCF_002128285.1;protein_90,GCF_009944335.1;protein_90,GCF_001272755.1;protein_90,GCF_000733995.1;protein_166,GCF_002090215.1;protein_89,GCF_000319655.2;protein_90,GCF_009947575.1;protein_90,GCF_009945865.1;protein_90,GCF_009943805.1;protein_90,GCF_002090295.1;protein_90,,,,,,,
GCF_910574535.1;protein_91,GCF_002128045.1;protein_90,GCF_000319675.2;protein_90,GCF_000027345.1;protein_91,GCF_000283755.1;protein_90,GCF_002127985.1;protein_91,GCF_009947205.1;protein_91,GCF_041931765.1;protein_168,GCF_040256845.1;protein_90,GCF_002128265.1;protein_90,GCF_041931565.1;protein_287,GCF_009944725.1;protein_91,GCF_002128145.1;protein_91,GCF_001558175.1;protein_90,GCF_009942155.1;protein_90,GCF_041931755.1;protein_167,GCF_001272775.1;protein_91,GCF_009939765.1;protein_91,GCF_002355715.1;protein_90,GCF_900660465.1;protein_636,GCF_002128285.1;protein_91,GCF_009944335.1;protein_91,GCF_001272755.1;protein_91,GCF_000733995.1;protein_167,GCF_002090215.1;protein_90,GCF_000319655.2;protein_91,GCF_009947575.1;protein_91,GCF_009945865.1;protein_91,GCF_009943805.1;protein_91,GCF_002090295.1;protein_91,,,,,,,
GCF_910574535.1;protein_92,GCF_002128045.1;protein_91,GCF_000319675.2;protein_91,GCF_000027345.1;protein_92,GCF_000283755.1;protein_91,GCF_002127985.1;protein_92,GCF_009947205.1;protein_92,GCF_041931765.1;protein_169,GCF_040256845.1;protein_91,GCF_002128265.1;protein_91,GCF_041931565.1;protein_288,GCF_009944725.1;protein_92,GCF_002128145.1;protein_92,GCF_001558175.1;protein_91,GCF_009942155.1;protein_91,GCF_041931755.1;protein_168,GCF_001272775.1;protein_92,GCF_009939765.1;protein_92,GCF_002355715.1;protein_91,GCF_900660465.1;protein_635,GCF_002128285.1;protein_92,GCF_009944335.1;protein_92,GCF_001272755.1;protein_92,GCF_000733995.1;protein_168,GCF_002090215.1;protein_91,GCF_000319655.2;protein_92,GCF_009947575.1;protein_92,GCF_009945865.1;protein_92,GCF_009943805.1;protein_92,GCF_002090295.1;protein_92,,,,,,,
